Height(mm),Volume(ltrs)
0,0
64,100
96,250
142,500
182,750
224,1000
298,1500
354,2000
412,2500
472,3000
570,4000
670,5000
754,6000
840,7000
1014,9000
1182,11000
1352,13000
1552,15000
1608,15500
