Dip (mm),Vol. (ltrs.)
2150,12853
2152,12865
2154,12877
2156,12889
2158,12901
2160,12913
2162,12925
2164,12937
2166,12949
2168,12961
2170,12973
2172,12985
2174,12997
2176,13009
2178,13021
2180,13033
2182,13045
2184,13057
2186,13069
2188,13081
2190,13093
2192,13105
2194,13117
2196,13129
2198,13141
2200,13153
2202,13165
2204,13177
2206,13189
2208,13201
2210,13213
2212,13225
2214,13237
2216,13249
2218,13261
2220,13273
2222,13285
2224,13297
2226,13309
2228,13321
2230,13333
2232,13345
2234,13357
2236,13369
2238,13381
2240,13393
2242,13405
2244,13417
2246,13429
2248,13441
2250,13453
2252,13465
2254,13477
2256,13489
2258,13501
2260,13513
2262,13525
2264,13537
2266,13549
2268,13561
2270,13573
2272,13585
2274,13597
2276,13609
2278,13621
2280,13633
2282,13645
2284,13657
2286,13669
2288,13681
2290,13693
2292,13705
2294,13717
2296,13729
2298,13741
2300,13753
2302,13765
2304,13777
2306,13789
2308,13801
2310,13813
2312,13825
2314,13837
2316,13849
2318,13861
2320,13873
2322,13885
2324,13897
2326,13909
2328,13921
2330,13933
2332,13945
2334,13957
2336,13969
2338,13981
2340,13993
2342,14005
2344,14017
2346,14029
2348,14041
2350,14053
2352,14065
2354,14077
2356,14089
2358,14101
2360,14113
2362,14125
2364,14137
2366,14149
2368,14161
2370,14173
2372,14185
2374,14197
2376,14209
2378,14221
2380,14233
2382,14245
2384,14257
2386,14269
2388,14281
2390,14293
2392,14305
2394,14317
2396,14329
2398,14341
2400,14353
2402,14365
2404,14377
2406,14389
2408,14401
2410,14413
2412,14425
2414,14437
2416,14449
2418,14461
2420,14473
2422,14485
2424,14497
2426,14509
2428,14521
2430,14533
2432,14545
2434,14557
2436,14569
2438,14581
2440,14593
2442,14605
2444,14617
2446,14629
2448,14641
2450,14653
2452,14665
2454,14677
2456,14689
2458,14701
2460,14713
2462,14725
2464,14737
2466,14749
2468,14761
2470,14773
2472,14785
2474,14797
2476,14809
2478,14821
2480,14833
2482,14845
2484,14857
2486,14869
2488,14881
2490,14893
2492,14905
2494,14917
2496,14929
2498,14941
2500,14953
2502,14965
2504,14977
2506,14989
2508,15001
2510,15013
2512,15025
2514,15037
2516,15049
2518,15061
2520,15073
2522,15085
2524,15097
2526,15109
2528,15121
2530,15133
2532,15145
2534,15157
2536,15169
2538,15181
2540,15193
2542,15205
2544,15217
2546,15229
2548,15241
2550,15253
2552,15265
2554,15277
2556,15289
2558,15301
2560,15313
2562,15325
2564,15337
2566,15349
2568,15361
2570,15373
2572,15385
2574,15397
2576,15409
2578,15421
2580,15433
2582,15445
2584,15457
2586,15469
2588,15481
2590,15493
2592,15505
2594,15517
2596,15529
2598,15541
2600,15553
2602,15565
2604,15577
2606,15589
2608,15601
2610,15613
2612,15625
2614,15637
2616,15649
2618,15661
2620,15673
2622,15685
2624,15697
2626,15709
2628,15721
2630,15733
2632,15745
2634,15757
2636,15769
2638,15781
2640,15793
2642,15805
2644,15817
2646,15829
2648,15841
2650,15853
2652,15865
2654,15877
2656,15889
2658,15901
2660,15913
2662,15925
2664,15937
2666,15949
2668,15961
2670,15973
2672,15985
2674,15997
2676,16009
2678,16021
2680,16033
2682,16045
2684,16057
2686,16069
2688,16081
2690,16093
2692,16105
2694,16117
2696,16129
2698,16141
2700,16153
2702,16165
2704,16177
2706,16189
2708,16201
2710,16213
2712,16225
2714,16237
2716,16249
2718,16261
2720,16273
2722,16285
2724,16297
2726,16309
2728,16321
2730,16333
2732,16345
2734,16357
2736,16369
2738,16381
2740,16393
2742,16405
2744,16417
2746,16429
2748,16441
2750,16453
2752,16465
2754,16477
2756,16489
2758,16501
2760,16513
2762,16525
2764,16537
2766,16549
2768,16561
2770,16573
2772,16585
2774,16597
2776,16609
2778,16621
2780,16633
2782,16645
2784,16657
2786,16669
2788,16681
2790,16693
2792,16705
2794,16717
2796,16729
2798,16741
2800,16753
2802,16765
2804,16777
2806,16789
2808,16801
2810,16813
2812,16825
2814,16837
2816,16849
2818,16861
2820,16873
2822,16885
2824,16897
2826,16909
2828,16921
2830,16933
2832,16945
2834,16957
2836,16969
2838,16981
2840,16993
2842,17005
2844,17017
2846,17029
2848,17041
2850,17053
2852,17065
2854,17077
2856,17089
2858,17101
2860,17113
2862,17125
2864,17137
2866,17149
2868,17161
2870,17173
2872,17185
2874,17197
2876,17209
2878,17221
2880,17233
2882,17245
2884,17257
2886,17269
2888,17281
2890,17293
2892,17305
2894,17317
2896,17329
2898,17341
2900,17353
2902,17365
2904,17377
2906,17389
2908,17401
2910,17413
2912,17425
2914,17437
2916,17449
2918,17461
2920,17473
2922,17485
2924,17497
2926,17509
2928,17521
2930,17533
2932,17545
2934,17557
2936,17569
2938,17581
2940,17593
2942,17605
2944,17617
2946,17629
2948,17641
2950,17653
2952,17665
2954,17677
2956,17689
2958,17701
2960,17713
2962,17725
2964,17737
2966,17749
2968,17761
2970,17773
2972,17785
2974,17797
2976,17809
2978,17821
2980,17833
2982,17845
2984,17857
2986,17869
2988,17881
2990,17893
2992,17905
2994,17917
2996,17929
2998,17941
3000,17953
3002,17965
3004,17977
3006,17989
3008,18001
3010,18013
3012,18025
3014,18037
3016,18049
3018,18061
3020,18073
3022,18085
3024,18097
3026,18109
3028,18121
3030,18133
3032,18145
3034,18157
3036,18169
3038,18181
3040,18193
3042,18205
3044,18217
3046,18229
3048,18241
3050,18253
3052,18265
3054,18277
3056,18289
3058,18301
3060,18313
3062,18325
3064,18337
3066,18349
3068,18361
3070,18373
3072,18385
3074,18397
3076,18409
3078,18421
3080,18433
3082,18445
3084,18457
3086,18469
3088,18481
3090,18493
3092,18505
3094,18517
3096,18529
3098,18541
3100,18553
3102,18565
3104,18577
3106,18589
3108,18601
3110,18613
3112,18625
3114,18637
3116,18649
3118,18661
3120,18673
3122,18685
3124,18697
3126,18709
3128,18721
3130,18733
3132,18745
3134,18757
3136,18769
3138,18781
3140,18793
3142,18805
3144,18817
3146,18829
3148,18841
3150,18853
3152,18865
3154,18877
3156,18889
3158,18901
3160,18913
3162,18925
3164,18937
3166,18949
3168,18961
3170,18973
3172,18985
3174,18997
3176,19009
3178,19021
3180,19033
3182,19045
3184,19057
3186,19069
3188,19081
3190,19093
3192,19105
3194,19117
3196,19129
3198,19141
3200,19153
3202,19165
3204,19177
3206,19189
3208,19201
3210,19213
3212,19225
3214,19237
3216,19249
3218,19261
3220,19273
3222,19285
3224,19297
3226,19309
3228,19321
3230,19333
3232,19345
3234,19357
3236,19369
3238,19381
3240,19393
3242,19405
3244,19417
3246,19429
3248,19441
3250,19453
3252,19465
3254,19477
3256,19489
3258,19501
3260,19513
3262,19525
3264,19537
3266,19549
3268,19561
3270,19573
3272,19585
3274,19597
3276,19609
3278,19621
3280,19633
3282,19645
3284,19657
3286,19669
3288,19681
3290,19693
3292,19705
3294,19717
3296,19729
3298,19741
3300,19753
3302,19765
3304,19777
3306,19789
3308,19801
3310,19813
3312,19825
3314,19837
3316,19849
3318,19861
3320,19873
3322,19885
3324,19897
3326,19909
3328,19921
3330,19933
3332,19945
3334,19957
3336,19969
3338,19981
3340,19993
3342,20005
3344,20017
3346,20029
3348,20041
3350,20053
3352,20065
3354,20077
3356,20089
3358,20101
3360,20113
3362,20125
3364,20137
3366,20149
3368,20161
3370,20173
3372,20185
3374,20197
3376,20209
3378,20221
3380,20233
3382,20245
3384,20257
3386,20269
3388,20281
3390,20293
3392,20305
3394,20317
3396,20329
3398,20341
3400,20353
3402,20365
3404,20377
3406,20389
3408,20401
3410,20413
3412,20425
3414,20437
3416,20449
3418,20461
3420,20473
3422,20485
3424,20497
3426,20509
3428,20521
3430,20533
3432,20545
3434,20557
3436,20569
3438,20581
3440,20593
3442,20605
3444,20617
3446,20629
3448,20641
3450,20653
3452,20665
3454,20677
3456,20689
3458,20701
3460,20713
3462,20725
3464,20737
3466,20749
3468,20761
3470,20773
3472,20785
3474,20797
3476,20809
3478,20821
3480,20833
3482,20845
3484,20857
3486,20869
3488,20881
3490,20893
3492,20905
3494,20917
3496,20929
3498,20941
