Height(mm),Volume(ltrs)
814 ,4952 
816 ,4964 
818 ,4976 
820 ,4988 
822 ,5000 
824 ,5012 
826 ,5024 
828 ,5036 
830 ,5048 
832 ,5060 
834 ,5071 
836 ,5083 
838 ,5095 
840 ,5107 
842 ,5119 
844 ,5131 
846 ,5143 
848 ,5155 
850 ,5167 
852 ,5179 
854 ,5190 
856 ,5202 
858 ,5214 
860 ,5226 
862 ,5238 
864 ,5250 
866 ,5262 
868 ,5274 
870 ,5286 
872 ,5298 
874 ,5310 
876 ,5321 
878 ,5333 
880 ,5345 
882 ,5357 
884 ,5369 
886 ,5381 
888 ,5393 
890 ,5405 
892 ,5417 
894 ,5429 
896 ,5440 
898 ,5452 
900 ,5464 
902 ,5476 
904 ,5488 
906 ,5500 
908 ,5512 
910 ,5524 
912 ,5536 
914 ,5548 
916 ,5560 
918 ,5571 
920 ,5583 
922 ,5595 
924 ,5607 
926 ,5619 
928 ,5631 
930 ,5643 
932 ,5655 
934 ,5667 
936 ,5679 
938 ,5690 
940 ,5702 
942 ,5714 
944 ,5726 
946 ,5738 
948 ,5750 
950 ,5762 
952 ,5774 
954 ,5786 
956 ,5798 
958 ,5810 
960 ,5821 
962 ,5833 
964 ,5845 
966 ,5857 
968 ,5869 
970 ,5881 
972 ,5893 
974 ,5905 
976 ,5917 
978 ,5929 
980 ,5940 
982 ,5952 
984 ,5964 
986 ,5976 
988 ,5988 
990 ,6000 
992 ,6011 
994 ,6023 
996 ,6034 
998 ,6046 
1000 ,6057 
1002 ,6069 
1004 ,6080 
1006 ,6092 
1008 ,6103 
1010 ,6115 
1012 ,6126 
1014 ,6138 
1016 ,6149 
1018 ,6161 
1020 ,6172 
1022 ,6184 
1024 ,6195 
1026 ,6207 
1028 ,6218 
1030 ,6230 
1032 ,6241 
1034 ,6253 
1036 ,6264 
1038 ,6276 
1040 ,6287 
1042 ,6299 
1044 ,6310 
1046 ,6322 
1048 ,6333 
1050 ,6345 
1052 ,6356 
1054 ,6368 
1056 ,6379 
1058 ,6391 
1060 ,6402 
1062 ,6414 
1064 ,6425 
1066 ,6437 
1068 ,6448 
1070 ,6460 
1072 ,6471 
1074 ,6483 
1076 ,6494 
1078 ,6506 
1080 ,6517 
1082 ,6529 
1084 ,6540 
1086 ,6552 
1088 ,6563 
1090 ,6575 
1092 ,6586 
1094 ,6598 
1096 ,6609 
1098 ,6621 
1100 ,6632 
1102 ,6644 
1104 ,6655 
1106 ,6667 
1108 ,6678 
1110 ,6690 
1112 ,6701 
1114 ,6713 
1116 ,6724 
1118 ,6736 
1120 ,6747 
1122 ,6759 
1124 ,6770 
1126 ,6782 
1128 ,6793 
1130 ,6805 
1132 ,6816 
1134 ,6828 
1136 ,6839 
1138 ,6851 
1140 ,6862 
1142 ,6874 
1144 ,6885 
1146 ,6897 
1148 ,6908 
1150 ,6920 
1152 ,6931 
1154 ,6943 
1156 ,6954 
1158 ,6966 
1160 ,6977 
1162 ,6989 
1164 ,7000 
1166 ,7012 
1168 ,7024 
1170 ,7035 
1172 ,7047 
1174 ,7059 
1176 ,7071 
1178 ,7082 
1180 ,7094 
1182 ,7106 
1184 ,7118 
1186 ,7129 
1188 ,7141 
1190 ,7153 
1192 ,7165 
1194 ,7176 
1196 ,7188 
1198 ,7200 
1200 ,7212 
1202 ,7224 
1204 ,7235 
1206 ,7247 
1208 ,7259 
1210 ,7271 
1212 ,7282 
1214 ,7294 
1216 ,7306 
1218 ,7318 
1220 ,7329 
1222 ,7341 
1224 ,7353 
1226 ,7365 
1228 ,7376 
1230 ,7388 
1232 ,7400 
1234 ,7412 
1236 ,7424 
1238 ,7435 
1240 ,7447 
1242 ,7459 
1244 ,7471 
1246 ,7482 
1248 ,7494 
1250 ,7506 
1252 ,7518 
1254 ,7529 
1256 ,7541 
1258 ,7553 
1260 ,7565 
1262 ,7576 
1264 ,7588 
1266 ,7600 
1268 ,7612 
1270 ,7624 
1272 ,7635 
1274 ,7647 
1276 ,7659 
1278 ,7671 
1280 ,7682 
1282 ,7694 
1284 ,7706 
1286 ,7718 
1288 ,7729 
1290 ,7741 
1292 ,7753 
1294 ,7765 
1296 ,7776 
1298 ,7788 
1300 ,7800 
1302 ,7812 
1304 ,7824 
1306 ,7835 
1308 ,7847 
1310 ,7859 
1312 ,7871 
1314 ,7882 
1316 ,7894 
1318 ,7906 
1320 ,7918 
1322 ,7929 
1324 ,7941 
1326 ,7953 
1328 ,7965 
1330 ,7976 
1332 ,7988 
1334 ,8000 
1336 ,8012 
1338 ,8024 
1340 ,8036 
1342 ,8048 
1344 ,8060 
1346 ,8072 
1348 ,8084 
1350 ,8096 
1352 ,8108 
1354 ,8120 
1356 ,8133 
1358 ,8145 
1360 ,8157 
1362 ,8169 
1364 ,8181 
1366 ,8193 
1368 ,8205 
1370 ,8217 
1372 ,8229 
1374 ,8241 
1376 ,8253 
1378 ,8265 
1380 ,8277 
1382 ,8289 
1384 ,8301 
1386 ,8313 
1388 ,8325 
1390 ,8337 
1392 ,8349 
1394 ,8361 
1396 ,8373 
1398 ,8386 
1400 ,8398 
1402 ,8410 
1404 ,8422 
1406 ,8434 
1408 ,8446 
1410 ,8458 
1412 ,8470 
1414 ,8482 
1416 ,8494 
1418 ,8506 
1420 ,8518 
1422 ,8530 
1424 ,8542 
1426 ,8554 
1428 ,8566 
1430 ,8578 
1432 ,8590 
1434 ,8602 
1436 ,8614 
1438 ,8627 
1440 ,8639 
1442 ,8651 
1444 ,8663 
1446 ,8675 
1448 ,8687 
1450 ,8699 
1452 ,8711 
1454 ,8723 
1456 ,8735 
1458 ,8747 
1460 ,8759 
1462 ,8771 
1464 ,8783 
1466 ,8795 
1468 ,8807 
1470 ,8819 
1472 ,8831 
1474 ,8843 
1476 ,8855 
1478 ,8867 
1480 ,8880 
1482 ,8892 
1484 ,8904 
1486 ,8916 
1488 ,8928 
1490 ,8940 
1492 ,8952 
1494 ,8964 
1496 ,8976 
1498 ,8988 
1500 ,9000 
1502 ,9012 
1504 ,9024 
1506 ,9035 
1508 ,9047 
1510 ,9059 
1512 ,9071 
1514 ,9082 
1516 ,9094 
1518 ,9106 
1520 ,9118 
1522 ,9129 
1524 ,9141 
1526 ,9153 
1528 ,9165 
1530 ,9176 
1532 ,9188 
1534 ,9200 
1536 ,9212 
1538 ,9224 
1540 ,9235 
1542 ,9247 
1544 ,9259 
1546 ,9271 
1548 ,9282 
1550 ,9294 
1552 ,9306 
1554 ,9318 
1556 ,9329 
1558 ,9341 
1560 ,9353 
1562 ,9365 
1564 ,9376 
1566 ,9388 
1568 ,9400 
1570 ,9412 
1572 ,9424 
1574 ,9435 
1576 ,9447 
1578 ,9459 
1580 ,9471 
1582 ,9482 
1584 ,9494 
1586 ,9506 
1588 ,9518 
1590 ,9529 
1592 ,9541 
1594 ,9553 
1596 ,9565 
1598 ,9576 
1600 ,9588 
1602 ,9600 
1604 ,9612 
1606 ,9624 
1608 ,9635 
1610 ,9647 
1612 ,9659 
1614 ,9671 
1616 ,9682 
1618 ,9694 
1620 ,9706 
1622 ,9718 
1624 ,9729 
1626 ,9741 
1628 ,9753 
1630 ,9765 
1632 ,9776 
1634 ,9788 
1636 ,9800 
1638 ,9812 
1640 ,9824 
1642 ,9835 
1644 ,9847 
1646 ,9859 
1648 ,9871 
1650 ,9882 
1652 ,9894 
1654 ,9906 
1656 ,9918 
1658 ,9929 
1660 ,9941 
1662 ,9953 
1664 ,9965 
1666 ,9976 
1668 ,9988 
1670 ,10000 
1672 ,10012 
1674 ,10024 
1676 ,10036 
1678 ,10048 
1680 ,10060 
1682 ,10071 
1684 ,10083 
1686 ,10095 
1688 ,10107 
1690 ,10119 
1692 ,10131 
1694 ,10143 
1696 ,10155 
1698 ,10167 
1700 ,10179 
1702 ,10190 
1704 ,10202 
1706 ,10214 
1708 ,10226 
1710 ,10238 
1712 ,10250 
1714 ,10262 
1716 ,10274 
1718 ,10286 
1720 ,10298 
1722 ,10310 
1724 ,10321 
1726 ,10333 
1728 ,10345 
1730 ,10357 
1732 ,10369 
1734 ,10381 
1736 ,10393 
1738 ,10405 
1740 ,10417 
1742 ,10429 
1744 ,10440 
1746 ,10452 
1748 ,10464 
1750 ,10476 
1752 ,10488 
1754 ,10500 
1756 ,10512 
1758 ,10524 
1760 ,10536 
1762 ,10548 
1764 ,10560 
1766 ,10571 
1768 ,10583 
1770 ,10595 
1772 ,10607 
1774 ,10619 
1776 ,10631 
1778 ,10643 
1780 ,10655 
1782 ,10667 
1784 ,10679 
1786 ,10690 
1788 ,10702 
1790 ,10714 
1792 ,10726 
1794 ,10738 
1796 ,10750 
1798 ,10762 
1800 ,10774 
1802 ,10786 
1804 ,10798 
1806 ,10810 
1808 ,10821 
1810 ,10833 
1812 ,10845 
1814 ,10857 
1816 ,10869 
1818 ,10881 
1820 ,10893 
1822 ,10905 
1824 ,10917 
1826 ,10929 
1828 ,10940 
1830 ,10952 
1832 ,10964 
1834 ,10976 
1836 ,10988 
1838 ,11000 
1840 ,11012 
1842 ,11024 
1844 ,11037 
1846 ,11049 
1848 ,11061 
1850 ,11073 
1852 ,11085 
1854 ,11098 
1856 ,11110 
1858 ,11122 
1860 ,11134 
1862 ,11146 
1864 ,11159 
1866 ,11171 
1868 ,11183 
1870 ,11195 
1872 ,11207 
1874 ,11220 
1876 ,11232 
1878 ,11244 
1880 ,11256 
1882 ,11268 
1884 ,11280 
1886 ,11293 
1888 ,11305 
1890 ,11317 
1892 ,11329 
1894 ,11341 
1896 ,11354 
1898 ,11366 
1900 ,11378 
1902 ,11390 
1904 ,11402 
1906 ,11415 
1908 ,11427 
1910 ,11439 
1912 ,11451 
1914 ,11463 
1916 ,11476 
1918 ,11488 
1920 ,11500 
1922 ,11511 
1924 ,11522 
1926 ,11534 
1928 ,11545 
1930 ,11556 
1932 ,11567 
1934 ,11578 
1936 ,11590 
1938 ,11601 
1940 ,11612 
1942 ,11623 
1944 ,11634 
1946 ,11646 
1948 ,11657 
1950 ,11668 
1952 ,11679 
1954 ,11690 
1956 ,11702 
1958 ,11713 
1960 ,11724 
1962 ,11736 
1964 ,11748 
1966 ,11760 
1968 ,11772 
1970 ,11784 
1972 ,11796 
1974 ,11808 
1976 ,11820 
1978 ,11832 
1980 ,11844 
1982 ,11856 
1984 ,11868 
1986 ,11880 
1988 ,11892 
1990 ,11904 
1992 ,11916 
1994 ,11928 
1996 ,11940 
1998 ,11952 
2000 ,11964 
2002 ,11976 
2004 ,11988 
2006 ,12000 
2008 ,12012 
2010 ,12023 
2012 ,12035 
2014 ,12046 
2016 ,12058 
2018 ,12069 
2020 ,12081 
2022 ,12092 
2024 ,12104 
2026 ,12115 
2028 ,12127 
2030 ,12138 
2032 ,12150 
2034 ,12161 
2036 ,12173 
2038 ,12184 
2040 ,12196 
2042 ,12207 
2044 ,12219 
2046 ,12230 
2048 ,12242 
2050 ,12253 
2052 ,12265 
